CPU Name,CPU Mark(higher is better),Rank(lower is better),CPU Value(higher is better),Price(USD),CPU Link
Samsung Exynos 9820,"3,966",2259,NA,NA,cpu_lookup.php?cpu=Samsung+Exynos+9820&id=3946
Samsung Exynos 9825,"3,794",2310,NA,NA,cpu_lookup.php?cpu=Samsung+Exynos+9825&id=3937
Samsung Exynos 990,"6,108",1806,NA,NA,cpu_lookup.php?cpu=Samsung+Exynos+990&id=5354
Samsung EXYNOS5420,704,4296,NA,NA,cpu_lookup.php?cpu=Samsung+EXYNOS5420&id=3950
Samsung EXYNOS5430,"1,380",3600,NA,NA,cpu_lookup.php?cpu=Samsung+EXYNOS5430&id=5854
Samsung EXYNOS5433,"1,178",3775,NA,NA,cpu_lookup.php?cpu=Samsung+EXYNOS5433&id=4003
SAMSUNG Exynos7420,"2,050",3131,NA,NA,cpu_lookup.php?cpu=SAMSUNG+Exynos7420&id=3992
SAMSUNG Exynos7580,910,4048,NA,NA,cpu_lookup.php?cpu=SAMSUNG+Exynos7580&id=4053
Samsung Exynos7870,"2,093",3104,NA,NA,cpu_lookup.php?cpu=Samsung+Exynos7870&id=5477
samsung exynos7885,"2,496",2861,NA,NA,cpu_lookup.php?cpu=samsung+exynos7885&id=5784
Samsung GrandPrimePlus LTE CIS rev04 board based o,312,4760,NA,NA,cpu_lookup.php?cpu=Samsung+GrandPrimePlus+LTE+CIS+rev04+board+based+o&id=3998
Samsung GrandPrimePlus LTE LTN DTV rev04 board bas,599,4416,NA,NA,cpu_lookup.php?cpu=Samsung+GrandPrimePlus+LTE+LTN+DTV+rev04+board+bas&id=5606
Samsung GrandPrimePlus LTE LTN OPEN rev04 board ba,415,4619,NA,NA,cpu_lookup.php?cpu=Samsung+GrandPrimePlus+LTE+LTN+OPEN+rev04+board+ba&id=4312
Samsung J7 Max LTE SWA board based on MT6757V/WL,928,4029,NA,NA,cpu_lookup.php?cpu=Samsung+J7+Max+LTE+SWA+board+based+on+MT6757V%2FWL&id=4283
SAMSUNG JF,537,4493,NA,NA,cpu_lookup.php?cpu=SAMSUNG+JF&id=4100
Samsung M13 EUR OPEN REV02 board based on EXYNOS85,"1,425",3566,NA,NA,cpu_lookup.php?cpu=Samsung+M13+EUR+OPEN+REV02+board+based+on+EXYNOS85&id=5141
Samsung M13 SWA INS 00 board based on EXYNOS850,"1,269",3682,NA,NA,cpu_lookup.php?cpu=Samsung+M13+SWA+INS+00+board+based+on+EXYNOS850&id=5038
Samsung s5e8535,"4,562",2114,NA,NA,cpu_lookup.php?cpu=Samsung+s5e8535&id=5502
Samsung s5e8825,"4,491",2128,NA,NA,cpu_lookup.php?cpu=Samsung+s5e8825&id=5395
Samsung s5e8835,"5,991",1832,NA,NA,cpu_lookup.php?cpu=Samsung+s5e8835&id=5340
Samsung s5e8845,"7,079",1625,NA,NA,cpu_lookup.php?cpu=Samsung+s5e8845&id=5961
Samsung s5e8855,"7,901",1506,NA,NA,cpu_lookup.php?cpu=Samsung+s5e8855&id=6579
Samsung s5e9925,"6,467",1735,NA,NA,cpu_lookup.php?cpu=Samsung+s5e9925&id=5335
Samsung s5e9945,"10,943",1240,NA,NA,cpu_lookup.php?cpu=Samsung+s5e9945&id=5857
SAMSUNG SERRANO,266,4826,NA,NA,cpu_lookup.php?cpu=SAMSUNG+SERRANO&id=4411
"Samsung Technologies, Inc Exynos E1080","4,846",2063,NA,NA,cpu_lookup.php?cpu=Samsung+Technologies%2C+Inc+Exynos+E1080&id=4552
sc8830,473,4560,NA,NA,cpu_lookup.php?cpu=sc8830&id=6619
SM6375,"4,441",2138,NA,NA,cpu_lookup.php?cpu=SM6375&id=5272
SM7325,"6,074",1813,NA,NA,cpu_lookup.php?cpu=SM7325&id=4638
SM8325,"5,629",1899,NA,NA,cpu_lookup.php?cpu=SM8325&id=4998
