Videocard Name,Passmark G3D Mark (higher is better),Rank (lower is better),Videocard Value (higher is better),Price (USD),GPU Link
FirePro V8700,1538,1012,9.75,$157.88*,video_lookup.php?gpu=FirePro+V8700&id=3105
FirePro V8800,2280,765,11.52,$198.00*,video_lookup.php?gpu=FirePro+V8800&id=3344
FirePro V9800,2726,678,5.75,$474.00*,video_lookup.php?gpu=FirePro+V9800&id=3423
FirePro W2100,854,1316,14.49,$59.00*,video_lookup.php?gpu=FirePro+W2100&id=2940
FirePro W4100,1524,1018,8.29,$184.00*,video_lookup.php?gpu=FirePro+W4100&id=3019
FirePro W4170M,1054,1188,NA,NA,video_lookup.php?gpu=FirePro+W4170M&id=3070
Firepro W4190M,1149,1148,NA,NA,video_lookup.php?gpu=Firepro+W4190M&id=3491
FirePro W4300,2797,665,11.66,$239.99*,video_lookup.php?gpu=FirePro+W4300&id=3425
FirePro W5000,2988,640,16.24,$184.00*,video_lookup.php?gpu=FirePro+W5000&id=2227
FirePro W5100,2977,643,23.63,$125.99*,video_lookup.php?gpu=FirePro+W5100&id=3044
FirePro W5130M,1405,1059,NA,NA,video_lookup.php?gpu=FirePro+W5130M&id=3440
Firepro W5170M,1819,909,NA,NA,video_lookup.php?gpu=Firepro+W5170M&id=3470
FirePro W600,1682,957,4.05,$414.99*,video_lookup.php?gpu=FirePro+W600&id=2371
FirePro W6150M,2358,746,NA,NA,video_lookup.php?gpu=FirePro+W6150M&id=4341
FirePro W7000,4255,516,15.30,$278.05*,video_lookup.php?gpu=FirePro+W7000&id=2232
FirePro W7000 Adapter,4359,509,NA,NA,video_lookup.php?gpu=FirePro+W7000+Adapter&id=2647
FirePro W7100,5235,427,13.45,$389.30*,video_lookup.php?gpu=FirePro+W7100&id=3130
FirePro W7170M,3161,621,NA,NA,video_lookup.php?gpu=FirePro+W7170M&id=3412
FirePro W8000,4163,519,7.27,$573.00*,video_lookup.php?gpu=FirePro+W8000&id=2427
FirePro W8100,6671,344,9.48,$704.00*,video_lookup.php?gpu=FirePro+W8100&id=2937
FirePro W9000,6157,362,7.29,$845.00*,video_lookup.php?gpu=FirePro+W9000&id=2281
FirePro W9100,7747,304,4.48,"$1,729.99*",video_lookup.php?gpu=FirePro+W9100&id=3028
FireStream 9170,647,1515,NA,NA,video_lookup.php?gpu=FireStream+9170&id=3357
FireStream 9250,1164,1141,NA,NA,video_lookup.php?gpu=FireStream+9250&id=2652
FireStream 9270,1341,1078,NA,NA,video_lookup.php?gpu=FireStream+9270&id=2960
FireStream 9370,2528,711,NA,NA,video_lookup.php?gpu=FireStream+9370&id=247
GeCube RADEON 7000,8,2523,NA,NA,video_lookup.php?gpu=GeCube+RADEON+7000&id=699
GeForce 205,126,2136,NA,NA,video_lookup.php?gpu=GeForce+205&id=1168
GeForce 210,125,2138,2.31,$54.15*,video_lookup.php?gpu=GeForce+210&id=1169
GeForce 240M GT,319,1888,NA,NA,video_lookup.php?gpu=GeForce+240M+GT&id=4035
GeForce 256,5,2571,0.12,$42.04*,video_lookup.php?gpu=GeForce+256&id=1170
GeForce 305M,150,2069,NA,NA,video_lookup.php?gpu=GeForce+305M&id=1171
GeForce 310,142,2088,1.32,$108.35*,video_lookup.php?gpu=GeForce+310&id=1172
GeForce 310M,122,2146,NA,NA,video_lookup.php?gpu=GeForce+310M&id=102
GeForce 315,198,2014,6.02,$32.99*,video_lookup.php?gpu=GeForce+315&id=1173
GeForce 315M,114,2170,NA,NA,video_lookup.php?gpu=GeForce+315M&id=1174
GeForce 320M,209,1999,NA,NA,video_lookup.php?gpu=GeForce+320M&id=1175
GeForce 405,118,2160,4.79,$24.64*,video_lookup.php?gpu=GeForce+405&id=1177
GeForce 410M,267,1934,NA,NA,video_lookup.php?gpu=GeForce+410M&id=1178
GeForce 505,143,2086,1.25,$115.06*,video_lookup.php?gpu=GeForce+505&id=2604
GeForce 510,290,1910,4.15,$69.99*,video_lookup.php?gpu=GeForce+510&id=1179
GeForce 605,319,1887,2.34,$136.83*,video_lookup.php?gpu=GeForce+605&id=1180
GeForce 6100,27,2460,NA,NA,video_lookup.php?gpu=GeForce+6100&id=1181
GeForce 6100 nForce 400,25,2471,NA,NA,video_lookup.php?gpu=GeForce+6100+nForce+400&id=1182
GeForce 6100 nForce 405,26,2462,NA,NA,video_lookup.php?gpu=GeForce+6100+nForce+405&id=1183
GeForce 6100 nForce 420,25,2470,NA,NA,video_lookup.php?gpu=GeForce+6100+nForce+420&id=1185
GeForce 6100 nForce 430,23,2483,NA,NA,video_lookup.php?gpu=GeForce+6100+nForce+430&id=1186
GeForce 610M,291,1908,NA,NA,video_lookup.php?gpu=GeForce+610M&id=2125
GeForce 615,507,1703,NA,NA,video_lookup.php?gpu=GeForce+615&id=2361
GeForce 6150,21,2486,0.07,$329.00*,video_lookup.php?gpu=GeForce+6150&id=1187
GeForce 6150 LE,33,2436,NA,NA,video_lookup.php?gpu=GeForce+6150+LE&id=1188
GeForce 6150SE,24,2474,NA,NA,video_lookup.php?gpu=GeForce+6150SE&id=1189
GeForce 6150SE nForce 430,30,2450,NA,NA,video_lookup.php?gpu=GeForce+6150SE+nForce+430&id=74
GeForce 6200,37,2414,0.71,$53.17*,video_lookup.php?gpu=GeForce+6200&id=1191
GeForce 6200 A-LE,32,2445,NA,NA,video_lookup.php?gpu=GeForce+6200+A-LE&id=1192
GeForce 6200 LE,32,2442,0.80,$41.24*,video_lookup.php?gpu=GeForce+6200+LE&id=125
GeForce 6200 TurboCache,52,2347,NA,NA,video_lookup.php?gpu=GeForce+6200+TurboCache&id=1194
GeForce 6200A,3,2616,0.07,$54.99*,video_lookup.php?gpu=GeForce+6200A&id=3063
GeForce 6200SE TurboCache,37,2416,NA,NA,video_lookup.php?gpu=GeForce+6200SE+TurboCache&id=1195
GeForce 6500,38,2408,NA,NA,video_lookup.php?gpu=GeForce+6500&id=1197
GeForce 6600,86,2250,0.33,$264.00*,video_lookup.php?gpu=GeForce+6600&id=1198
GeForce 6600 GT,142,2089,2.20,$64.95*,video_lookup.php?gpu=GeForce+6600+GT&id=1199
GeForce 6600 LE,51,2352,NA,NA,video_lookup.php?gpu=GeForce+6600+LE&id=1201
GeForce 6610 XL,88,2247,NA,NA,video_lookup.php?gpu=GeForce+6610+XL&id=1203
GeForce 6700 XL,95,2228,NA,NA,video_lookup.php?gpu=GeForce+6700+XL&id=1204
GeForce 6800,112,2179,0.20,$559.29*,video_lookup.php?gpu=GeForce+6800&id=1205
GeForce 6800 GS,191,2022,NA,NA,video_lookup.php?gpu=GeForce+6800+GS&id=1207
GeForce 6800 GS/XT,102,2209,NA,NA,video_lookup.php?gpu=GeForce+6800+GS%2FXT&id=1208
GeForce 6800 GT,142,2091,NA,NA,video_lookup.php?gpu=GeForce+6800+GT&id=1210
GeForce 6800 LE,109,2189,NA,NA,video_lookup.php?gpu=GeForce+6800+LE&id=1213
GeForce 6800 Ultra,138,2101,NA,NA,video_lookup.php?gpu=GeForce+6800+Ultra&id=1214
GeForce 6800 XE,58,2334,NA,NA,video_lookup.php?gpu=GeForce+6800+XE&id=1215
GeForce 6800 XT,123,2143,NA,NA,video_lookup.php?gpu=GeForce+6800+XT&id=1216
GeForce 7000M,13,2507,NA,NA,video_lookup.php?gpu=GeForce+7000M&id=1217
GeForce 7000M / nForce 610M,12,2508,NA,NA,video_lookup.php?gpu=GeForce+7000M+%2F+nForce+610M&id=1218
GeForce 7025 / nForce 630a,33,2439,NA,NA,video_lookup.php?gpu=GeForce+7025+%2F+nForce+630a&id=1220
GeForce 7050 / nForce 610i,25,2468,NA,NA,video_lookup.php?gpu=GeForce+7050+%2F+nForce+610i&id=1221
GeForce 7050 / nForce 620i,41,2392,NA,NA,video_lookup.php?gpu=GeForce+7050+%2F+nForce+620i&id=1222
GeForce 7050 / nForce 630i,37,2411,NA,NA,video_lookup.php?gpu=GeForce+7050+%2F+nForce+630i&id=1223
GeForce 7050 PV / nForce 630a,31,2448,NA,NA,video_lookup.php?gpu=GeForce+7050+PV+%2F+nForce+630a&id=1224
GeForce 705M,455,1765,NA,NA,video_lookup.php?gpu=GeForce+705M&id=2781
GeForce 7100 / nForce 620i,26,2465,NA,NA,video_lookup.php?gpu=GeForce+7100+%2F+nForce+620i&id=1225
GeForce 7100 / nForce 630i,41,2389,NA,NA,video_lookup.php?gpu=GeForce+7100+%2F+nForce+630i&id=1226
GeForce 7100 GS,51,2353,NA,NA,video_lookup.php?gpu=GeForce+7100+GS&id=1227
GeForce 710A,472,1745,NA,NA,video_lookup.php?gpu=GeForce+710A&id=2622
GeForce 710M,454,1767,NA,NA,video_lookup.php?gpu=GeForce+710M&id=2399
GeForce 7150 / nForce 630i,33,2440,NA,NA,video_lookup.php?gpu=GeForce+7150+%2F+nForce+630i&id=1228
GeForce 7150M / nForce 630M,18,2494,NA,NA,video_lookup.php?gpu=GeForce+7150M+%2F+nForce+630M&id=1229
GeForce 7200 GS,23,2482,NA,NA,video_lookup.php?gpu=GeForce+7200+GS&id=1231
GeForce 720A,614,1562,NA,NA,video_lookup.php?gpu=GeForce+720A&id=3977
GeForce 7300 GS,78,2277,NA,NA,video_lookup.php?gpu=GeForce+7300+GS&id=1232
GeForce 7300 GT,125,2137,0.84,$149.99*,video_lookup.php?gpu=GeForce+7300+GT&id=1233
GeForce 7300 LE,78,2279,2.45,$32.00*,video_lookup.php?gpu=GeForce+7300+LE&id=1235
GeForce 7300 SE,39,2406,NA,NA,video_lookup.php?gpu=GeForce+7300+SE&id=1236
GeForce 7300 SE/7200 GS,48,2364,NA,NA,video_lookup.php?gpu=GeForce+7300+SE%2F7200+GS&id=1238
GeForce 730A,770,1394,NA,NA,video_lookup.php?gpu=GeForce+730A&id=3306
GeForce 7350 LE,74,2284,NA,NA,video_lookup.php?gpu=GeForce+7350+LE&id=1241
GeForce 7500 LE,84,2252,NA,NA,video_lookup.php?gpu=GeForce+7500+LE&id=39
GeForce 7600 GS,158,2062,1.36,$116.04*,video_lookup.php?gpu=GeForce+7600+GS&id=9
GeForce 7600 GT,224,1976,1.13,$199.00*,video_lookup.php?gpu=GeForce+7600+GT&id=1243
GeForce 7650 GS,134,2118,NA,NA,video_lookup.php?gpu=GeForce+7650+GS&id=1247
GeForce 770M,3245,607,18.34,$176.99*,video_lookup.php?gpu=GeForce+770M&id=3519
GeForce 7800 GS,177,2034,NA,NA,video_lookup.php?gpu=GeForce+7800+GS&id=1248
GeForce 7800 GT,244,1960,3.05,$80.00*,video_lookup.php?gpu=GeForce+7800+GT&id=1249
GeForce 7800 GTX,290,1909,4.06,$71.60*,video_lookup.php?gpu=GeForce+7800+GTX&id=1250
GeForce 7900 GS,253,1950,NA,NA,video_lookup.php?gpu=GeForce+7900+GS&id=1251
GeForce 7900 GT,258,1945,1.30,$199.00*,video_lookup.php?gpu=GeForce+7900+GT&id=1252
GeForce 7900 GT/GTO,247,1957,NA,NA,video_lookup.php?gpu=GeForce+7900+GT%2FGTO&id=1253
GeForce 7900 GTX,387,1822,NA,NA,video_lookup.php?gpu=GeForce+7900+GTX&id=1254
GeForce 7950 GT,347,1857,1.36,$254.80*,video_lookup.php?gpu=GeForce+7950+GT&id=1255
GeForce 7950 GX2,201,2007,3.67,$54.99*,video_lookup.php?gpu=GeForce+7950+GX2&id=1256
GeForce 7950 Xtreme,287,1913,NA,NA,video_lookup.php?gpu=GeForce+7950+Xtreme&id=3389
GeForce 800A,476,1739,NA,NA,video_lookup.php?gpu=GeForce+800A&id=3356
GeForce 800M,477,1735,NA,NA,video_lookup.php?gpu=GeForce+800M&id=3015
GeForce 8100 / nForce 720a,79,2276,NA,NA,video_lookup.php?gpu=GeForce+8100+%2F+nForce+720a&id=1257
GeForce 810A,655,1502,NA,NA,video_lookup.php?gpu=GeForce+810A&id=3099
GeForce 810M,418,1800,NA,NA,video_lookup.php?gpu=GeForce+810M&id=3005
GeForce 8200,155,2064,NA,NA,video_lookup.php?gpu=GeForce+8200&id=1258
GeForce 8200M G,65,2319,NA,NA,video_lookup.php?gpu=GeForce+8200M+G&id=1259
GeForce 820A,555,1638,NA,NA,video_lookup.php?gpu=GeForce+820A&id=3210
GeForce 820M,490,1720,NA,NA,video_lookup.php?gpu=GeForce+820M&id=2785
GeForce 825M,770,1392,NA,NA,video_lookup.php?gpu=GeForce+825M&id=2971
GeForce 8300,101,2213,4.48,$22.68*,video_lookup.php?gpu=GeForce+8300&id=1260
GeForce 8300 GS,115,2168,NA,NA,video_lookup.php?gpu=GeForce+8300+GS&id=1261
GeForce 830A,1201,1126,NA,NA,video_lookup.php?gpu=GeForce+830A&id=3094
GeForce 830M,1008,1212,NA,NA,video_lookup.php?gpu=GeForce+830M&id=2982
GeForce 8400,81,2270,0.14,$589.99*,video_lookup.php?gpu=GeForce+8400&id=1262
GeForce 8400 GS,156,2063,1.82,$85.97*,video_lookup.php?gpu=GeForce+8400+GS&id=73
GeForce 8400 SE,68,2306,NA,NA,video_lookup.php?gpu=GeForce+8400+SE&id=1264
GeForce 8400M G,105,2199,NA,NA,video_lookup.php?gpu=GeForce+8400M+G&id=1265
GeForce 8400M GS,100,2216,1.29,$78.20*,video_lookup.php?gpu=GeForce+8400M+GS&id=1266
GeForce 8400M GT,66,2314,NA,NA,video_lookup.php?gpu=GeForce+8400M+GT&id=1268
