Videocard Name,Passmark G3D Mark (higher is better),Rank (lower is better),Videocard Value (higher is better),Price (USD),GPU Link
Radeon R7 M465X,1786,922,NA,NA,video_lookup.php?gpu=Radeon+R7+M465X&id=3760
Radeon R7 Opteron X3421,1135,1151,NA,NA,video_lookup.php?gpu=Radeon+R7+Opteron+X3421&id=3823
Radeon R7 PRO A10-8750B,776,1380,NA,NA,video_lookup.php?gpu=Radeon+R7+PRO+A10-8750B&id=3362
Radeon R7 PRO A10-8770,917,1277,NA,NA,video_lookup.php?gpu=Radeon+R7+PRO+A10-8770&id=3664
Radeon R7 PRO A10-8770E,806,1359,NA,NA,video_lookup.php?gpu=Radeon+R7+PRO+A10-8770E&id=3665
Radeon R7 PRO A10-8850B,945,1256,NA,NA,video_lookup.php?gpu=Radeon+R7+PRO+A10-8850B&id=3529
Radeon R7 PRO A10-9700,797,1365,NA,NA,video_lookup.php?gpu=Radeon+R7+PRO+A10-9700&id=3678
Radeon R7 PRO A10-9700B,628,1540,NA,NA,video_lookup.php?gpu=Radeon+R7+PRO+A10-9700B&id=3882
Radeon R7 PRO A10-9700E,934,1265,1.77,$529.00*,video_lookup.php?gpu=Radeon+R7+PRO+A10-9700E&id=3679
Radeon R7 PRO A12-8800B,619,1553,NA,NA,video_lookup.php?gpu=Radeon+R7+PRO+A12-8800B&id=3622
Radeon R7 PRO A12-8830B,581,1603,NA,NA,video_lookup.php?gpu=Radeon+R7+PRO+A12-8830B&id=3819
Radeon R7 PRO A12-8870,929,1270,NA,NA,video_lookup.php?gpu=Radeon+R7+PRO+A12-8870&id=3657
Radeon R7 PRO A12-8870E,892,1294,NA,NA,video_lookup.php?gpu=Radeon+R7+PRO+A12-8870E&id=3627
Radeon R7 PRO A12-9800,975,1236,NA,NA,video_lookup.php?gpu=Radeon+R7+PRO+A12-9800&id=3662
Radeon R7 PRO A12-9800B,678,1479,NA,NA,video_lookup.php?gpu=Radeon+R7+PRO+A12-9800B&id=3645
Radeon R7 PRO A12-9800E,954,1248,NA,NA,video_lookup.php?gpu=Radeon+R7+PRO+A12-9800E&id=3663
Radeon R7 PRO A6-9500 2C+6G,781,1374,NA,NA,video_lookup.php?gpu=Radeon+R7+PRO+A6-9500+2C%2B6G&id=4072
Radeon R7 PRO A8-8650B,714,1449,NA,NA,video_lookup.php?gpu=Radeon+R7+PRO+A8-8650B&id=3382
Radeon R7 PRO A8-8670E,1162,1143,NA,NA,video_lookup.php?gpu=Radeon+R7+PRO+A8-8670E&id=3806
Radeon R7 PRO A8-9600,847,1322,NA,NA,video_lookup.php?gpu=Radeon+R7+PRO+A8-9600&id=3613
Radeon R7E,564,1628,NA,NA,video_lookup.php?gpu=Radeon+R7E&id=3988
Radeon R8 M365DX,647,1514,NA,NA,video_lookup.php?gpu=Radeon+R8+M365DX&id=3238
Radeon R8 M445DX,796,1366,NA,NA,video_lookup.php?gpu=Radeon+R8+M445DX&id=3516
Radeon R8 M535DX,670,1486,NA,NA,video_lookup.php?gpu=Radeon+R8+M535DX&id=3814
Radeon R9 255,1391,1062,4.04,$344.16*,video_lookup.php?gpu=Radeon+R9+255&id=2888
Radeon R9 260,3047,634,NA,NA,video_lookup.php?gpu=Radeon+R9+260&id=3496
Radeon R9 270,4306,513,NA,NA,video_lookup.php?gpu=Radeon+R9+270&id=3550
Radeon R9 270 / R7 370,4259,515,19.98,$213.16*,video_lookup.php?gpu=Radeon+R9+270+%2F+R7+370&id=2766
Radeon R9 270X,4873,462,14.93,$326.50*,video_lookup.php?gpu=Radeon+R9+270X&id=2702
Radeon R9 280,5544,403,NA,NA,video_lookup.php?gpu=Radeon+R9+280&id=3465
Radeon R9 280X,6137,365,NA,NA,video_lookup.php?gpu=Radeon+R9+280X&id=3466
Radeon R9 285 / 380,5549,402,11.44,$485.00*,video_lookup.php?gpu=Radeon+R9+285+%2F+380&id=3116
Radeon R9 290,8207,281,NA,NA,video_lookup.php?gpu=Radeon+R9+290&id=4259
Radeon R9 290 / 390,8150,288,21.45,$380.00*,video_lookup.php?gpu=Radeon+R9+290+%2F+390&id=2719
Radeon R9 290X,8530,275,NA,NA,video_lookup.php?gpu=Radeon+R9+290X&id=4263
Radeon R9 290X / 390X,8380,279,26.19,$319.99*,video_lookup.php?gpu=Radeon+R9+290X+%2F+390X&id=2697
Radeon R9 295X2,8681,272,17.39,$499.10*,video_lookup.php?gpu=Radeon+R9+295X2&id=2878
Radeon R9 350,1998,847,6.68,$299.00*,video_lookup.php?gpu=Radeon+R9+350&id=3589
Radeon R9 360,3031,637,22.64,$133.89*,video_lookup.php?gpu=Radeon+R9+360&id=3327
Radeon R9 370,4722,475,29.51,$159.99*,video_lookup.php?gpu=Radeon+R9+370&id=3469
Radeon R9 380,6082,371,67.59,$89.99*,video_lookup.php?gpu=Radeon+R9+380&id=3460
Radeon R9 380X,6173,361,17.64,$349.99*,video_lookup.php?gpu=Radeon+R9+380X&id=3266
Radeon R9 390,8878,266,NA,NA,video_lookup.php?gpu=Radeon+R9+390&id=3464
Radeon R9 390X,9363,253,NA,NA,video_lookup.php?gpu=Radeon+R9+390X&id=3467
Radeon R9 Fury,9554,245,21.56,$443.10*,video_lookup.php?gpu=Radeon+R9+Fury&id=3256
Radeon R9 Fury + Fury X,9741,240,21.65,$449.99*,video_lookup.php?gpu=Radeon+R9+Fury+%2B+Fury+X&id=3245
Radeon R9 Fury X,9484,249,NA,NA,video_lookup.php?gpu=Radeon+R9+Fury+X&id=3634
Radeon R9 M265X,1146,1149,NA,NA,video_lookup.php?gpu=Radeon+R9+M265X&id=2999
Radeon R9 M270X,1204,1125,NA,NA,video_lookup.php?gpu=Radeon+R9+M270X&id=3085
Radeon R9 M275,1114,1159,1.59,$699.99*,video_lookup.php?gpu=Radeon+R9+M275&id=3010
Radeon R9 M275X,1699,949,NA,NA,video_lookup.php?gpu=Radeon+R9+M275X&id=4329
Radeon R9 M275X / M375,1574,996,NA,NA,video_lookup.php?gpu=Radeon+R9+M275X+%2F+M375&id=3035
Radeon R9 M280X,813,1354,NA,NA,video_lookup.php?gpu=Radeon+R9+M280X&id=3096
Radeon R9 M290X,3282,602,NA,NA,video_lookup.php?gpu=Radeon+R9+M290X&id=2918
Radeon R9 M295X,5150,438,3.55,"$1,449.00*",video_lookup.php?gpu=Radeon+R9+M295X&id=2985
Radeon R9 M360,1817,910,NA,NA,video_lookup.php?gpu=Radeon+R9+M360&id=3479
Radeon R9 M365X,1481,1036,NA,NA,video_lookup.php?gpu=Radeon+R9+M365X&id=3463
Radeon R9 M370X,1548,1005,1.74,$889.00*,video_lookup.php?gpu=Radeon+R9+M370X&id=3299
Radeon R9 M375,973,1238,NA,NA,video_lookup.php?gpu=Radeon+R9+M375&id=3263
Radeon R9 M375X,1715,941,NA,NA,video_lookup.php?gpu=Radeon+R9+M375X&id=3337
Radeon R9 M380,2773,670,NA,NA,video_lookup.php?gpu=Radeon+R9+M380&id=3339
Radeon R9 M385,2060,827,NA,NA,video_lookup.php?gpu=Radeon+R9+M385&id=3383
Radeon R9 M385X,1993,850,NA,NA,video_lookup.php?gpu=Radeon+R9+M385X&id=3378
Radeon R9 M390X,3850,541,NA,NA,video_lookup.php?gpu=Radeon+R9+M390X&id=3405
Radeon R9 M395,4915,459,NA,NA,video_lookup.php?gpu=Radeon+R9+M395&id=3346
Radeon R9 M395X,5194,432,NA,NA,video_lookup.php?gpu=Radeon+R9+M395X&id=3340
Radeon R9 M470,2330,753,NA,NA,video_lookup.php?gpu=Radeon+R9+M470&id=3606
Radeon R9 M470X,3244,609,NA,NA,video_lookup.php?gpu=Radeon+R9+M470X&id=3574
Radeon R9 M485X,3660,562,NA,NA,video_lookup.php?gpu=Radeon+R9+M485X&id=3726
Radeon RX 460,4102,524,24.59,$166.81*,video_lookup.php?gpu=Radeon+RX+460&id=3557
Radeon RX 470/570,7968,295,20.48,$388.99*,video_lookup.php?gpu=Radeon+RX+470%2F570&id=3558
Radeon RX 480,8580,274,25.24,$339.99*,video_lookup.php?gpu=Radeon+RX+480&id=3533
Radeon RX 5300,7587,312,NA,NA,video_lookup.php?gpu=Radeon+RX+5300&id=4420
Radeon RX 5300M,4723,474,NA,NA,video_lookup.php?gpu=Radeon+RX+5300M&id=4325
Radeon RX 540,2016,840,NA,NA,video_lookup.php?gpu=Radeon+RX+540&id=3854
Radeon RX 550,2696,683,15.86,$169.99,video_lookup.php?gpu=Radeon+RX+550&id=3761
Radeon RX 5500,8783,269,NA,NA,video_lookup.php?gpu=Radeon+RX+5500&id=4164
Radeon RX 5500 XT,9104,258,50.22,$181.29*,video_lookup.php?gpu=Radeon+RX+5500+XT&id=4174
Radeon RX 5500M,5791,383,NA,NA,video_lookup.php?gpu=Radeon+RX+5500M&id=4193
Radeon RX 550X,2355,747,NA,NA,video_lookup.php?gpu=Radeon+RX+550X&id=4069
Radeon RX 560,3656,563,16.97,$215.55,video_lookup.php?gpu=Radeon+RX+560&id=3708
Radeon RX 5600,11679,202,NA,NA,video_lookup.php?gpu=Radeon+RX+5600&id=4205
Radeon RX 5600 OEM,12610,177,NA,NA,video_lookup.php?gpu=Radeon+RX+5600+OEM&id=4640
Radeon RX 5600 XT,13492,156,24.76,$545.00*,video_lookup.php?gpu=Radeon+RX+5600+XT&id=4186
Radeon RX 5600M,8833,267,NA,NA,video_lookup.php?gpu=Radeon+RX+5600M&id=4217
Radeon RX 560X,3168,619,NA,NA,video_lookup.php?gpu=Radeon+RX+560X&id=3955
Radeon RX 5700,14346,140,46.28,$309.99*,video_lookup.php?gpu=Radeon+RX+5700&id=4107
Radeon RX 5700 XT,16368,105,33.52,$488.33*,video_lookup.php?gpu=Radeon+RX+5700+XT&id=4111
Radeon RX 5700 XT 50th Anniversary,16496,99,NA,NA,video_lookup.php?gpu=Radeon+RX+5700+XT+50th+Anniversary&id=4114
Radeon RX 5700m 8GB 256 bit Ryzen 5 5600U,1599,986,NA,NA,video_lookup.php?gpu=Radeon+RX+5700m+8GB+256+bit+Ryzen+5+5600U&id=6073
Radeon RX 570X,1923,871,12.57,$153.01*,video_lookup.php?gpu=Radeon+RX+570X&id=4179
Radeon RX 580,8830,268,55.20,$159.99,video_lookup.php?gpu=Radeon+RX+580&id=3736
Radeon RX 580 2048SP,7657,307,NA,NA,video_lookup.php?gpu=Radeon+RX+580+2048SP&id=4049
Radeon RX 580X,7513,317,NA,NA,video_lookup.php?gpu=Radeon+RX+580X&id=4055
Radeon RX 590,9376,252,17.05,$549.99*,video_lookup.php?gpu=Radeon+RX+590&id=4025
Radeon RX 6300,5165,435,NA,NA,video_lookup.php?gpu=Radeon+RX+6300&id=4939
Radeon RX 6300M,6421,351,NA,NA,video_lookup.php?gpu=Radeon+RX+6300M&id=5214
Radeon RX 640,2141,800,NA,NA,video_lookup.php?gpu=Radeon+RX+640&id=4168
Radeon RX 6400,7649,310,46.37,$164.99,video_lookup.php?gpu=Radeon+RX+6400&id=4536
Radeon RX 6500,7527,316,NA,NA,video_lookup.php?gpu=Radeon+RX+6500&id=4843
Radeon RX 6500 XT,9578,244,53.22,$179.99,video_lookup.php?gpu=Radeon+RX+6500+XT&id=4488
Radeon RX 6500M,7565,313,NA,NA,video_lookup.php?gpu=Radeon+RX+6500M&id=4599
Radeon RX 6550M,9795,238,NA,NA,video_lookup.php?gpu=Radeon+RX+6550M&id=4941
Radeon RX 6600,15100,129,64.76,$233.18,video_lookup.php?gpu=Radeon+RX+6600&id=4465
Radeon RX 6600 LE,15387,121,NA,NA,video_lookup.php?gpu=Radeon+RX+6600+LE&id=5228
Radeon RX 6600 XT,16470,102,37.43,$439.99*,video_lookup.php?gpu=Radeon+RX+6600+XT&id=4444
Radeon RX 6600M,13923,144,32.19,$432.58,video_lookup.php?gpu=Radeon+RX+6600M&id=4449
Radeon RX 6600S,11715,200,NA,NA,video_lookup.php?gpu=Radeon+RX+6600S&id=4755
Radeon RX 6650 XT,17130,91,37.24,$459.99*,video_lookup.php?gpu=Radeon+RX+6650+XT&id=4541
Radeon RX 6650M,15094,130,NA,NA,video_lookup.php?gpu=Radeon+RX+6650M&id=4557
Radeon RX 6650M XT,17070,93,NA,NA,video_lookup.php?gpu=Radeon+RX+6650M+XT&id=5157
Radeon RX 6700,19203,77,NA,NA,video_lookup.php?gpu=Radeon+RX+6700&id=4564
Radeon RX 6700 XT,19819,68,25.18,$787.16*,video_lookup.php?gpu=Radeon+RX+6700+XT&id=4369
Radeon RX 6700M,13623,150,50.46,$269.99*,video_lookup.php?gpu=Radeon+RX+6700M&id=4458
Radeon RX 6700S,15023,131,50.08,$299.99*,video_lookup.php?gpu=Radeon+RX+6700S&id=4510
Radeon RX 6750 GRE 10GB,18051,84,NA,NA,video_lookup.php?gpu=Radeon+RX+6750+GRE+10GB&id=5041
Radeon RX 6750 GRE 12GB,19691,70,NA,NA,video_lookup.php?gpu=Radeon+RX+6750+GRE+12GB&id=4990
Radeon RX 6750 XT,20761,60,52.38,$396.34*,video_lookup.php?gpu=Radeon+RX+6750+XT&id=4543
Radeon RX 6800,22123,54,55.31,$399.99*,video_lookup.php?gpu=Radeon+RX+6800&id=4314
Radeon RX 6800 XT,24994,37,39.05,$639.99*,video_lookup.php?gpu=Radeon+RX+6800+XT&id=4312
Radeon RX 6800M,13286,160,NA,NA,video_lookup.php?gpu=Radeon+RX+6800M&id=4415
Radeon RX 6800S,15744,112,NA,NA,video_lookup.php?gpu=Radeon+RX+6800S&id=4542
Radeon RX 6850M,12274,188,NA,NA,video_lookup.php?gpu=Radeon+RX+6850M&id=4511
Radeon RX 6850M XT,17406,89,NA,NA,video_lookup.php?gpu=Radeon+RX+6850M+XT&id=4574
Radeon RX 6900 XT,26728,32,17.70,"$1,509.67*",video_lookup.php?gpu=Radeon+RX+6900+XT&id=4322
Radeon RX 6950 XT,28108,24,28.11,$999.99*,video_lookup.php?gpu=Radeon+RX+6950+XT&id=4540
Radeon RX 7600,16602,97,57.25,$289.99,video_lookup.php?gpu=Radeon+RX+7600&id=4832
Radeon RX 7600 XT,17088,92,44.27,$385.99,video_lookup.php?gpu=Radeon+RX+7600+XT&id=4982
Radeon RX 7600M,11581,205,NA,NA,video_lookup.php?gpu=Radeon+RX+7600M&id=4964
Radeon RX 7600M XT,13097,165,NA,NA,video_lookup.php?gpu=Radeon+RX+7600M+XT&id=4844
Radeon RX 7600S,15407,119,NA,NA,video_lookup.php?gpu=Radeon+RX+7600S&id=4835
Radeon RX 7700 XT,22451,52,42.36,$529.99,video_lookup.php?gpu=Radeon+RX+7700+XT&id=4919
Radeon RX 7700S,15390,120,NA,NA,video_lookup.php?gpu=Radeon+RX+7700S&id=4887
Radeon RX 780,7657,306,NA,NA,video_lookup.php?gpu=Radeon+RX+780&id=4992
Radeon RX 7800 XT,24202,40,39.31,$615.65,video_lookup.php?gpu=Radeon+RX+7800+XT&id=4917
Radeon RX 7800M,16496,100,NA,NA,video_lookup.php?gpu=Radeon+RX+7800M&id=5646
Radeon RX 7900 GRE,26991,29,49.99,$539.99*,video_lookup.php?gpu=Radeon+RX+7900+GRE&id=4906
Radeon RX 7900 XT,28848,19,30.69,$939.99,video_lookup.php?gpu=Radeon+RX+7900+XT&id=4646
Radeon RX 7900 XTX,31111,11,25.18,"$1,235.69*",video_lookup.php?gpu=Radeon+RX+7900+XTX&id=4644
Radeon RX 7900M,23273,44,NA,NA,video_lookup.php?gpu=Radeon+RX+7900M&id=4946
Radeon RX 9070,24878,39,37.13,$669.99,video_lookup.php?gpu=Radeon+RX+9070&id=5958
Radeon RX 9070 XT,27221,28,31.29,$869.99*,video_lookup.php?gpu=Radeon+RX+9070+XT&id=5956
Radeon RX Vega - Renoir Ryzen 3 5300U,2312,758,NA,NA,video_lookup.php?gpu=Radeon+RX+Vega+-+Renoir+Ryzen+3+5300U&id=4948
Radeon RX Vega 10,1632,971,NA,NA,video_lookup.php?gpu=Radeon+RX+Vega+10&id=4066
Radeon RX Vega 10 Ryzen 7 3700C,1166,1140,NA,NA,video_lookup.php?gpu=Radeon+RX+Vega+10+Ryzen+7+3700C&id=5869
Radeon RX Vega 10 Ryzen 7 3700U,1491,1032,NA,NA,video_lookup.php?gpu=Radeon+RX+Vega+10+Ryzen+7+3700U&id=4669
Radeon RX Vega 10 Ryzen 7 3750H,1915,875,NA,NA,video_lookup.php?gpu=Radeon+RX+Vega+10+Ryzen+7+3750H&id=4672
Radeon RX Vega 10 Ryzen 7 PRO 3700U w/,1503,1026,NA,NA,video_lookup.php?gpu=Radeon+RX+Vega+10+Ryzen+7+PRO+3700U+w%2F&id=4747
Radeon RX Vega 11,2107,811,2.10,"$1,002.00*",video_lookup.php?gpu=Radeon+RX+Vega+11&id=3893
Radeon RX Vega 11 PRD,2401,731,NA,NA,video_lookup.php?gpu=Radeon+RX+Vega+11+PRD&id=4131
Radeon RX Vega 11 Processor,1794,919,NA,NA,video_lookup.php?gpu=Radeon+RX+Vega+11+Processor&id=4338
Radeon RX Vega 11 Ryzen 5 3350G,1957,865,NA,NA,video_lookup.php?gpu=Radeon+RX+Vega+11+Ryzen+5+3350G&id=4745
Radeon RX Vega 11 Ryzen 5 3350GE,2480,719,NA,NA,video_lookup.php?gpu=Radeon+RX+Vega+11+Ryzen+5+3350GE&id=6103
Radeon RX Vega 11 Ryzen 5 3400G,2175,791,NA,NA,video_lookup.php?gpu=Radeon+RX+Vega+11+Ryzen+5+3400G&id=4671
Radeon RX Vega 11 Ryzen 5 3400GE,1941,869,NA,NA,video_lookup.php?gpu=Radeon+RX+Vega+11+Ryzen+5+3400GE&id=4754
Radeon RX Vega 56,13098,164,17.40,$752.99*,video_lookup.php?gpu=Radeon+RX+Vega+56&id=3821
Radeon RX Vega 6 Ryzen 3 3200U,906,1284,NA,NA,video_lookup.php?gpu=Radeon+RX+Vega+6+Ryzen+3+3200U&id=4894
Radeon RX Vega 64,14138,141,18.85,$749.99*,video_lookup.php?gpu=Radeon+RX+Vega+64&id=3808
Radeon RX Vega 8,1527,1017,NA,NA,video_lookup.php?gpu=Radeon+RX+Vega+8&id=4012
Radeon RX Vega M GH,6581,345,NA,NA,video_lookup.php?gpu=Radeon+RX+Vega+M+GH&id=3915
Radeon RX Vega M GL,3873,539,NA,NA,video_lookup.php?gpu=Radeon+RX+Vega+M+GL&id=3903
Radeon RX Vega Ryzen 3 5300U,2329,754,NA,NA,video_lookup.php?gpu=Radeon+RX+Vega+Ryzen+3+5300U&id=4970
Radeon RX Vega Ryzen 7 5825U,2916,649,NA,NA,video_lookup.php?gpu=Radeon+RX+Vega+Ryzen+7+5825U&id=6028
Radeon RX Vega11,1605,983,NA,NA,video_lookup.php?gpu=Radeon+RX+Vega11&id=4157
Radeon RX Vega11 Ryzen 7 3750H,1711,944,NA,NA,video_lookup.php?gpu=Radeon+RX+Vega11+Ryzen+7+3750H&id=4965
Radeon RX Vega11 Ryzen 7 Microsoft Surface Edition,1420,1055,NA,NA,video_lookup.php?gpu=Radeon+RX+Vega11+Ryzen+7+Microsoft+Surface+Edition&id=4730
Radeon RX590 GME,8477,276,NA,NA,video_lookup.php?gpu=Radeon+RX590+GME&id=4290
Radeon Ryzen 3 3250U,802,1362,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+3+3250U&id=4688
Radeon Ryzen 3 5300U,1615,979,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+3+5300U&id=4654
Radeon Ryzen 3 5425U,1532,1013,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+3+5425U&id=4698
Radeon Ryzen 3 7330U,1686,955,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+3+7330U&id=4816
Radeon Ryzen 3 7335U,2155,795,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+3+7335U&id=5079
Radeon Ryzen 3 PRO 4355GE,1431,1050,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+3+PRO+4355GE&id=4811
Radeon Ryzen 3 PRO 5355GE,1951,868,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+3+PRO+5355GE&id=5763
Radeon Ryzen 3 PRO 5450U,1736,933,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+3+PRO+5450U&id=4517
Radeon Ryzen 3 PRO 5475U,1541,1009,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+3+PRO+5475U&id=5010
Radeon Ryzen 3 PRO 7330U,1822,907,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+3+PRO+7330U&id=4779
Radeon Ryzen 3 PRO 7335U,2042,831,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+3+PRO+7335U&id=5030
Radeon Ryzen 5 3450U,1115,1158,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+5+3450U&id=4686
Radeon Ryzen 5 3550H,1782,923,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+5+3550H&id=5273
Radeon Ryzen 5 4600GE with Radeon Graphics,2249,777,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+5+4600GE+with+Radeon+Graphics&id=4494
Radeon Ryzen 5 5500GT,2558,703,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+5+5500GT&id=4994
Radeon Ryzen 5 5500U,2050,830,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+5+5500U&id=4660
Radeon Ryzen 5 5560U,2030,834,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+5+5560U&id=4555
Radeon Ryzen 5 5600GE,2481,718,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+5+5600GE&id=4744
Radeon Ryzen 5 5600GT,2473,720,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+5+5600GT&id=4989
Radeon Ryzen 5 5600H,2400,732,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+5+5600H&id=4459
Radeon Ryzen 5 5600U,2096,816,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+5+5600U&id=4453
Radeon Ryzen 5 5625U,2130,804,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+5+5625U&id=4666
Radeon Ryzen 5 6600H,3533,574,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+5+6600H&id=4674
Radeon Ryzen 5 6600HS Creator Edition,3759,550,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+5+6600HS+Creator+Edition&id=4681
Radeon Ryzen 5 6600U,3312,600,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+5+6600U&id=4675
Radeon Ryzen 5 7430U,2102,813,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+5+7430U&id=5051
Radeon Ryzen 5 7530U,2247,778,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+5+7530U&id=4728
Radeon Ryzen 5 7535HS,3121,627,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+5+7535HS&id=4808
Radeon Ryzen 5 7535U,3168,618,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+5+7535U&id=4837
Radeon Ryzen 5 7600 6-Core,1758,928,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+5+7600+6-Core&id=4714
Radeon Ryzen 5 7600X 6-Core,1703,946,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+5+7600X+6-Core&id=4647
Radeon Ryzen 5 7600X3D 6-Core,1869,890,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+5+7600X3D+6-Core&id=5167
Radeon Ryzen 5 Microsoft Surface Edition,2064,826,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+5+Microsoft+Surface+Edition&id=4382
Radeon Ryzen 5 PRO 4655G,2209,785,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+5+PRO+4655G&id=4815
Radeon Ryzen 5 PRO 4655GE,2361,744,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+5+PRO+4655GE&id=4904
Radeon Ryzen 5 PRO 5650G,2294,763,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+5+PRO+5650G&id=4485
Radeon Ryzen 5 PRO 5650GE,2344,749,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+5+PRO+5650GE&id=4463
Radeon Ryzen 5 PRO 5655G,2587,697,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+5+PRO+5655G&id=5208
Radeon Ryzen 5 PRO 5655GE,1466,1041,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+5+PRO+5655GE&id=5175
Radeon Ryzen 5 PRO 5675U,1917,873,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+5+PRO+5675U&id=4743
Radeon Ryzen 5 PRO 6650H,2548,705,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+5+PRO+6650H&id=4858
Radeon Ryzen 5 PRO 6650U,3667,560,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+5+PRO+6650U&id=4677
Radeon Ryzen 5 Pro 7535U,3097,630,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+5+Pro+7535U&id=4978
Radeon Ryzen 5 PRO 7645 6-Core,1730,935,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+5+PRO+7645+6-Core&id=4824
Radeon Ryzen 7 3700U,1301,1087,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+7+3700U&id=4670
Radeon Ryzen 7 4700G,2582,698,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+7+4700G&id=4357
Radeon Ryzen 7 4700GE,2595,695,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+7+4700GE&id=4387
Radeon Ryzen 7 4700U,2035,832,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+7+4700U&id=4349
Radeon Ryzen 7 4800H,3362,591,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+7+4800H&id=4348
Radeon Ryzen 7 4800HS,3278,603,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+7+4800HS&id=4362
Radeon Ryzen 7 4800U,2320,755,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+7+4800U&id=4356
Radeon Ryzen 7 5700U,2272,766,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+7+5700U&id=4650
Radeon Ryzen 7 5800H,2823,659,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+7+5800H&id=4452
Radeon Ryzen 7 5800HS,2543,707,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+7+5800HS&id=4462
Radeon Ryzen 7 5800U,2406,730,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+7+5800U&id=4464
Radeon Ryzen 7 5825U,2386,736,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+7+5825U&id=4668
Radeon Ryzen 7 6800H,5119,441,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+7+6800H&id=4657
Radeon Ryzen 7 6800HS,6025,372,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+7+6800HS&id=4661
Radeon Ryzen 7 6800HS Creator Edition,5447,411,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+7+6800HS+Creator+Edition&id=4697
Radeon Ryzen 7 6800U,4599,485,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+7+6800U&id=4648
Radeon Ryzen 7 6810U,5937,377,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+7+6810U&id=5210
Radeon Ryzen 7 7700 8-Core,1797,918,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+7+7700+8-Core&id=4717
Radeon Ryzen 7 7700X 8-Core,2009,842,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+7+7700X+8-Core&id=4651
Radeon Ryzen 7 7730U,2443,724,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+7+7730U&id=4771
Radeon Ryzen 7 7735H,5334,418,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+7+7735H&id=4764
Radeon Ryzen 7 7735HS,5089,446,NA,NA,video_lookup.php?gpu=Radeon+Ryzen+7+7735HS&id=4692
